,a_lot,ba,device,wafer_info,device_group,package,bond_wire,release,scrapped,final_test_para_fails,final_test_gross_fails,final_test_output,final_test_yield,delivery_date,quality_id,wps,fa,class_name,cause,edit_user,edit_date,create_user,create_date,box_class
0,634836,636358,FMMT720,9Z42LOCUS.5: 1(ringprobed); 9Z42LOCUS.7: 4(unprobed),ST,SOT23,CU,False,False,2022.0,112.0,79062.0,0.9737179171387753,,1328,False,False,Ausbeute,HFE,minsung-kim,2020-11-16 12:47:13.150,minsung-kim,2020-11-16 12:45:03.380,
1,632940,636131,ZVN4525G,9Z47MARCH.7: 7(ringprobed); 9Z47MARCH.6: 5(unprobed); 9Z47MARCH.5: 1(probed),MOSFET-M,SOT223,CU,True,False,3669.0,876.0,150579.0,0.9707008586679043,2020-11-16 00:00:00.000,1327,False,False,Ausbeute,"IDSS, VGSth",minsung-kim,2020-11-16 09:00:50.093,minsung-kim,2020-11-16 08:59:27.093,
2,629251,635747,ZXMN2A14F,9Z34LURCH.3: 9(unprobed),UMOS,LFSOT23,AU,False,False,711.0,2171.0,94514.0,0.97040946240092,,1326,False,False,Ausbeute,TA,minsung-kim,2020-11-16 08:50:32.140,minsung-kim,2020-11-16 08:44:58.240,        80: Blown on Test;         80: Grenzwert;         80: Totalausfall
3,634865,636380,ZXTP2029F,9Z26WIDEN.5: 6(unprobed),SS6,LFSOT23,AU,False,False,755.0,939.0,59141.0,0.9721541875565053,,1325,False,False,Ausbeute,TA,minsung-kim,2020-11-16 08:09:48.997,minsung-kim,2020-11-16 08:06:22.470,
4,631156,635946,ZXTP2029F,9Z26WIDEN.4: 6(probed),SS6,LFSOT23,AU,True,False,1347.0,190.0,53208.0,0.9719243766554023,2020-11-16 00:00:00.000,1324,False,False,Ausbeute,"HFE, VCEsat",minsung-kim,2020-11-16 08:05:09.183,minsung-kim,2020-11-16 07:58:26.410,
5,627424,635384,FMMT614-7-55,9Z45HEIRS.5: 5(unprobed),HT,SOT23,AU,False,False,409.0,60.0,142667.0,0.9967233959311425,2020-11-05 00:00:00.000,1323,False,False,Allg. & ZVR.,,tobias-hofmann,2020-11-12 13:15:33.300,tobias-hofmann,2020-11-12 13:12:44.997,         1: ICBO-Fehler;          1: ICES-Fehler;          1: IEBO-Fehler;          1: Kelvin;          1: Kurzschluss;          1: Offen;          1: RTHI-Fehler;          1: Totalausfall;          1: VCESAT-Fehler;         51: Ausfall Gurter;         51: Kelvin;         51: Q-Fehler;         51: Rückstellmuster;         51: Vision;        388: Blown on Test;        388: ICBO-Fehler;        388: ICES-Fehler;        388: IEBO-Fehler;        388: Kelvin;        388: Kurzschluss;        388: Offen;        388: Totalausfall;        388: VCESAT-Fehler
6,629233,635729,FMMT614-7-55,9Z45HEIRS.5: 7(unprobed),HT,SOT23,AU,False,False,749.0,86.0,198750.0,0.9958163188616379,,1322,False,True,Allg. & ZVR.,"RTH,VCESAT",tobias-hofmann,2020-11-12 13:14:53.567,tobias-hofmann,2020-11-12 13:05:58.777,        39: Blown on Test;         39: Grenzwert;         39: ICBO-Fehler;         39: ICES-Fehler;         39: IEBO-Fehler;         39: Kelvin;         39: Kurzschluss;         39: Offen;         39: RTHI-Fehler;         39: Totalausfall;         39: VCESAT-Fehler
7,631148,635940,ZXCT1008QF,9Z45PACTS.2: 6(probed),IC,LFSOT23,AU,True,False,,,,,2020-11-16 00:00:00.000,1321,False,True,Ausbeute,BIN 14 (Load open),tobias-hofmann,2020-11-10 09:24:17.360,tobias-hofmann,2020-11-10 09:19:47.463,       162: Grenzwert;        162: I_OUT4 Fehler;        162: Totalausfall;        162: Vin offen
8,627461,635408,FZT560,9Y45SCULL.5: 8(unprobed),VT,SOT223,AU,True,False,10302.0,1614.0,147722.0,0.925356118217467,2020-10-20 00:00:00.000,1320,True,False,Ausbeute,HFE,felix-kannemann,2020-11-10 07:43:17.860,minsung-kim,2020-11-10 07:43:08.633,       382: Grenzwert;        382: Rückstellmuster;        382: Totalausfall;        382: Vision
9,627460,635407,FZT560,9Y45SCULL.5: 8(unprobed),VT,SOT223,AU,True,False,2630.0,924.0,126025.0,0.9725727162580357,2020-10-19 00:00:00.000,1319,True,False,Ausbeute,HFE,minsung-kim,2020-11-10 07:42:36.590,minsung-kim,2020-11-10 07:42:27.313,       382: Grenzwert;        382: Rückstellmuster;        382: Totalausfall;        382: Vision
