a_lot,device,device_group,department,package,bond_wire,ship_package,uk_input,final_test_input,final_test_para_fails,final_test_gross_fails,final_test_output,final_test_yield,delivery_date,ship_package,die_size_code,transistor_type
Z311018,KMZ10CM,SEN SOT4W,SMD,SEN,AU,Schüttgut,32329,32126,,167.0,31959,0.9948017182344518,2018-12-19,Schüttgut,D   ,
Z310720,NI1000,SEN SOT23,SMD,SEN,AU,TC,122000,81119,14.0,79.0,81026,0.9988535361629212,2020-08-27,TC,A,
Z310718,3H0015,SEN SOT223,SMD,SEN,AU,Schüttgut,6000,6800,,16.0,6784,0.9976470588235294,2018-08-31,Schüttgut,N/A ,
Z310519,PT1000,SEN ELINEX,SMD,SEN,AU,Schüttgut,72960,69277,,307.0,68970,0.9955685148028928,2019-08-29,Schüttgut,N/A ,
Z310518-NI1000TC,NI1000,SEN SOT23,SMD,SEN,AU,TC,131158,130299,520.0,359.0,129420,0.9932539773904635,,TC,A,
Z310320,NI1000NOTIN,SEN SOT23,SMD,SEN,AU,TC,107673,107237,58.0,77.0,107102,0.9987411061480646,2020-04-17,TC,A,
Z310118-KMZ10CM,,SEN,SMD,SEN,,,34344,34095,,,34095,1.0,,,,
Z301119,PT1000,SEN SOT223,SMD,SEN,AU,TA,31200,36525,,605.0,35920,0.9834360027378508,2020-02-28,TA,N/A ,
Z301018,KMZ10CM,SEN SOT4W,SMD,SEN,AU,Schüttgut,32841,32187,,513.0,31674,0.9840618883400131,2018-12-14,Schüttgut,D   ,
Z300920,KMZ10CM,SEN SOT4W,SMD,SEN,AU,Schüttgut,23225,25127,,2200.0,22927,0.9124447805149839,,Schüttgut,D   ,
Z300820,ZNI1000,SEN SOT23,SMD,SEN,AU,TA,22242,22066,3.0,20.0,22043,0.9989576724372338,,TA,N/A,
Z300819,KMY21M,SEN SOT223,SMD,SEN,AU,TA,90184,85208,3224.0,195.0,81789,0.9598746596563703,2020-01-17,TA,N/A ,
Z300718,3H0015,SEN SOT223,SMD,SEN,AU,Schüttgut,7000,7798,,182.0,7616,0.9766606822262118,2018-08-31,Schüttgut,N/A ,
Z300620,NI1000NOTIN,SEN SOT23,SMD,SEN,AU,TC,79151,78718,371.0,1295.0,77052,0.978835844406616,2020-07-24,TC,A,
Z300519,NI1000,SEN SOT23,SMD,SEN,AU,TC,267553,238417,139.0,209.0,238069,0.9985403725405487,2019-07-12,TC,A,
Z300518-KMZ10CM,,SEN,SMD,SEN,,,31194,31097,65.0,132.0,30900,0.9936649837604914,,,,
Z300320,KMZ10CM,SEN SOT4W,SMD,SEN,AU,Schüttgut,2969,2975,,10.0,2965,0.9966386554621849,2020-05-08,Schüttgut,D   ,
Z300319,PT100,SEN ELINEX,SMD,SEN,AU,Schüttgut,23040,22376,,226.0,22150,0.9898998927422238,2019-06-07,Schüttgut,N/A ,
