a_lot,ba,device,wafer_info,device_group,department,package,bond_wire,ship_package,uk_input,final_test_input,final_test_para_fails,final_test_gross_fails,final_test_output,final_test_yield,delivery_date,quality_id,wps,fa,class_name,cause,comment,edit_user,edit_date,create_user,create_date,operator,tester,workplace,transistor_type,chip_configuration,lead_frame,box_class,year,month,week,day
606447,632254,ZXMN6A11G,9Z33HAVEN.3: 9(probed),UMOS,SMD,SOT223,CU,TA,96667.0,95472.0,9.0,64.0,95399.0,0.9992353779118485,2020-08-03 00:00:00.000,0,,,,,,,,,,,,,nMOSe,ZXMN6A11D,LEADFRAME DZN 2000 (all over Ag),,2020.0,8.0,32.0,3.0
606437,632244,BSP75NQ,9Z33FISHY.7: 2(unprobed); 9Z33FISHY.6: 14(unprobed),SVMOS,SMD,SOT223,AU,TA,88227.0,87980.0,280.0,1048.0,86652.0,0.9849056603773585,2020-08-03 00:00:00.000,0,,,,,,,,,,,,,,BSP75ND,LEADFRAME DZN 2012 (spot Ag),,2020.0,8.0,32.0,3.0
606241,632227,FMMT417,9Z05TROOP.6: 3(unprobed),HT,SMD,SOT23,AU,TD,113215.0,112596.0,22171.0,781.0,89644.0,0.7961561689580446,,0,,,,,,,,,,,,,npn,ZTX417C,TRÄGERBAND TB 401 LS-N  85 my,,,,,
605101,632122,ZVN4424G,9Z22FLOAT.5: 3(unprobed),MOSFET-H,SMD,SOT223,CU,TA,24000.0,26592.0,624.0,185.0,25783.0,0.9695773164861613,2020-07-28 00:00:00.000,0,,,,,,,,,,,,,nMOSe,ZVN4424GD,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,28.0
605009,632020,ZXMP4A16G,9Z31SALEM.5: 13(probed),UMOS,SMD,SOT223,CU,TA,64634.0,64066.0,51.0,142.0,63873.0,0.9969874816595387,2020-08-03 00:00:00.000,0,,,,,,,,,,,,,pMOSe,ZXMP4A16D,LEADFRAME DZN 2000 (all over Ag),,2020.0,8.0,32.0,3.0
605007,632019,FZT869,9Y48HUSSY.5: 8(ringprobed); 9Y48HUSSY.4: 4(probed); 9Y38DOING.5: 1(ringprobed),HT,SMD,SOT223,CU,TA,66379.0,66328.0,126.0,416.0,65786.0,0.9918284887227113,2020-07-30 00:00:00.000,0,,,,,,,,,,,,,npn,FZT869D,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,30.0
604878,632018,ZXMS6004DG,9Z33HORDE.4: 13(probed),SVMOS,SMD,SOT223,AU,TA,162225.0,161856.0,939.0,1172.0,159745.0,0.9869575425069197,2020-07-31 00:00:00.000,1158,False,True,Q-Fehler,,"<div>3 QF IDSS</div>

<div>FA: keine Assemblyfehler, Metallisierung durch Probenadelabdrücke beschädigt </div>

<div>98,6% Ausbeute</div>",felix-kannemann,2020-07-30 11:31:10.860,felix-kannemann,2020-07-28 14:28:10.373,,,,,,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,31.0
604877,632017,ZXMP7A17G,9Z28CAIRN.5: 18(probed),UMOS,SMD,SOT223,AU,TA,133009.0,132230.0,730.0,1493.0,130007.0,0.9831883838765787,2020-07-27 00:00:00.000,0,,,,,,,,,,,,,,ZXMP7A17G,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,27.0
604876,632016,ZXMP6A17G,9Z31LONER.5: 25(probed),UMOS,SMD,SOT223,CU,TA,171815.0,171208.0,767.0,5234.0,165207.0,0.9649490678005701,2020-07-31 00:00:00.000,1162,False,True,Ausbeute,IGSS,"<div>Screeningtest: 1~2 % jeder TP (IGSS)</div>

<div>FA : Felix</div>

<div>kontinuierlicher Anstieg Screening-Ausfall PUMOS_GR von TP1 zu TP5 (0,6 ... 2%), TP6 aber nur 1,2%</div>

<div>bei Nachmessung an Q-Tester wurden Screening-Ausfälle zu Totalausfall!</div>

<div>BE geöffnet: 6/12 fleckige Metallisierung, auch Gute</div>",felix-kannemann,2020-07-31 08:25:06.040,minsung-kim,2020-07-30 10:14:44.983,,,,pMOSe,ZXMP6A17D,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,31.0
604875,632015,ZXMP6A17G,9Z30HELPS.5: 24(probed),UMOS,SMD,SOT223,CU,TA,171096.0,170445.0,93.0,562.0,169790.0,0.9961571181319487,2020-07-29 00:00:00.000,0,,,,,,,,,,,,,pMOSe,ZXMP6A17D,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,29.0
604874,632014,ZXMP6A17G,9Z30FLOSS.6: 23(probed),UMOS,SMD,SOT223,CU,TA,164710.0,164856.0,161.0,730.0,163965.0,0.994595283156209,2020-07-28 00:00:00.000,0,,,,,,,,,,,,,pMOSe,ZXMP6A17D,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,28.0
604872,632013,ZXMP4A16GQ,9Y16HUNKS.4: 16(probed),UMOS,SMD,SOT223,AU,TA,71661.0,70544.0,1.0,516.0,70027.0,0.992671240644137,2020-07-31 00:00:00.000,0,,,,,,,,,,,,,pMOSe,,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,31.0
604869,632010,ZVN4306G,9Z30DRIFT.5: 6(unprobed),MOSFET-H,SMD,SOT223,CU,TA,32559.0,32353.0,426.0,489.0,31438.0,0.971718233239576,2020-07-29 00:00:00.000,0,,,,,,,,,,,,,nMOSe,ZVN4306GD,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,29.0
604866,632007,FZT851,9Z31GENIE.4: 5(probed); 9Z31GENIE.5: 2(ringprobed); 9Z31GENIE.6: 18(unprobed),HT,SMD,SOT223,CU,TA,128365.0,128258.0,1415.0,1496.0,125347.0,0.9773035600118511,,0,,,,,,,,,,,,,npn,FZT851D,LEADFRAME DZN 2000 (all over Ag),,,,,
604865,632006,FZT705,9Z30TORTS.6: 5(unprobed),MT,SMD,SOT223,CU,TA,65770.0,64389.0,1198.0,421.0,62770.0,0.9748559536566805,2020-07-28 00:00:00.000,0,,,,,,,,,,,,,pnp,FZT705D,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,28.0
604864,632005,FZT690B,9Z29THUMB.1: 10(probed),MT,SMD,SOT223,CU,TA,123143.0,105011.0,79.0,191.0,104741.0,0.9974288407881079,2020-07-28 00:00:00.000,0,,,,,,,,,,,,,npn,FZT651BD,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,28.0
604863,632004,FZT690BQ,9X51DROVE.4: 5(unprobed),MT,SMD,SOT223,AU,TA,65014.0,64837.0,150.0,366.0,64321.0,0.9920415811959221,2020-07-30 00:00:00.000,0,,,,,,,,,,,,,npn,FZT651BD,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,30.0
604862,632003,FZT649,9Z26BLITZ.4: 4(unprobed),MT,SMD,SOT223,CU,TC,52456.0,51979.0,17.0,150.0,51812.0,0.996787164047019,2020-07-24 00:00:00.000,0,,,,,,,,,,,,,npn,FZT649D,LEADFRAME DZN 2000 (all over Ag),       338: Grenzwert;        338: Rückstellmuster;        338: Totalausfall;        338: Vision,2020.0,7.0,30.0,24.0
604844,631992,ZHT431FM,9Z33TAUNT.7: 5(ringprobed),IC,SMD,LFSOT23,AU,TA,100120.0,99663.0,151.0,684.0,98828.0,0.9916217653492269,2020-07-31 00:00:00.000,0,,,,,,,,,,231; 231; 231; 231; 287; 292,HP40186; HP40186; HP40186; HP40186; AOT40101; AOT40101,1023; 1023; 1023; 1023; 105; 105,,ZR43101XF,LEADFRAME DZN 1020,,2020.0,7.0,31.0,31.0
604843,631991,ZHT431F02,9Z21PILED.9: 2(unprobed),IC,SMD,LFSOT23,AU,TA,40776.0,40700.0,97.0,201.0,40402.0,0.9926781326781327,,0,,,,,,,,,,292; 331,AOT40101; HP40186,104; 1023,,ZR43102XF,LEADFRAME DZN 1020,,,,,
