,a_lot,ba,device,wafer_info,device_group,department,package,bond_wire,release,scrapped,ship_package,uk_input,final_test_input,final_test_para_fails,final_test_gross_fails,final_test_output,final_test_yield,delivery_date,quality_id,wps,fa,class_name,cause,comment,edit_user,edit_date,create_user,create_date,operator,tester,workplace,transistor_type,chip_configuration,lead_frame,soft_solder,bond_wire2,article
0,634836,636358,FMMT720,9Z42LOCUS.5: 1(ringprobed); 9Z42LOCUS.7: 4(unprobed),ST,SMD,SOT23,CU,False,False,TA,93764.0,81196.0,2022.0,112.0,79062.0,0.9737179171387753,,1328,False,False,Ausbeute,HFE,"GW 2.49% (HFE); un(4)-/ring(1) probed Wafer. Der Hauptfehelr im Wafertest ist auch HFE.

die Ausbeute im Sampletest: 94~99%.",minsung-kim,2020-11-16 12:47:13.150,minsung-kim,2020-11-16 12:45:03.380,304; 287,HP40369; HP40369,608; 608,pnp,,TRÄGERBAND TB 401 LS-N  85 my,,"KUPFERBONDDRAHT 0,038 MM",A164I1.432.4
1,632940,636131,ZVN4525G,9Z47MARCH.7: 7(ringprobed); 9Z47MARCH.6: 5(unprobed); 9Z47MARCH.5: 1(probed),MOSFET-M,SMD,SOT223,CU,True,False,TA,159929.0,155124.0,3669.0,876.0,150579.0,0.9707008586679043,2020-11-16 00:00:00.000,1327,False,False,Ausbeute,"IDSS, VGSth","GW 2.37%(IDSS,VGSth); ring-(7)/un-(5)/ voll-(1) probed Wafer. das Kanalproblem.",minsung-kim,2020-11-16 09:00:50.093,minsung-kim,2020-11-16 08:59:27.093,,,,,ZVN4525GD,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,"KUPFERBONDDRAHT 0,025MM Dr",A22461.326.1
2,629251,635747,ZXMN2A14F,9Z34LURCH.3: 9(unprobed),UMOS,SMD,LFSOT23,AU,False,False,TA,98802.0,97396.0,711.0,2171.0,94514.0,0.97040946240092,,1326,False,False,Ausbeute,TA,"TA 2.23%; unprobed Wafer.

Die andere Chargen vom selben Wafer zuvor: 95.1%, 96.19% (TA: 3%, 2%).

Die durchschnittliche Ausbeute des Produkts (all time): 94.86%.",minsung-kim,2020-11-16 08:50:32.140,minsung-kim,2020-11-16 08:44:58.240,231; 293; 293; 289; 289; 289; 322; 322; 292; 322; 292; 322; 322; 292; 322,AOT40100; AOT40100; AOT40100; AOT40100; AOT40100; AOT40100; HP40186; HP40186; HP40186; HP40186; HP40186; HP40186; HP40186; HP40186; HP40186,104; 104; 104; 104; 104; 104; 1023; 1023; 1023; 1023; 1023; 1023; 1023; 1023; 1023,,ZXMN2A14D,LEADFRAME DZN 1011,,"AU-BETA-DRAHT TYP 0,038 MM",A171O1.74.4
3,634865,636380,ZXTP2029F,9Z26WIDEN.5: 6(unprobed),SS6,SMD,LFSOT23,AU,False,False,TA,61238.0,60835.0,755.0,939.0,59141.0,0.9721541875565053,,1325,False,False,Ausbeute,TA,"TA 1.54%; unprobed Wafer. TA ist 886 BE.

Nach PBK sollte es etwa 600 BE geben.",minsung-kim,2020-11-16 08:09:48.997,minsung-kim,2020-11-16 08:06:22.470,304; 325; 325,HP40171; HP40171; HP40171,250; 250; 250,,X23P41BD,LEADFRAME DZN 1011,,"AU-BETA-DRAHT TYP 0,050 MM",A171U1.68.4
4,631156,635946,ZXTP2029F,9Z26WIDEN.4: 6(probed),SS6,SMD,LFSOT23,AU,True,False,TA,55051.0,54745.0,1347.0,190.0,53208.0,0.9719243766554023,2020-11-16 00:00:00.000,1324,False,False,Ausbeute,"HFE, VCEsat","GW 2.46% (HFE, VCEsat); unprobed Wafer.

Im Wafertest ist HFE der Hauptfehler (Ausbuete: ~92%).

&nbsp;Außerdem gibt es mehr HFE- und VCEsat- tests bei NAT.

&nbsp;.",minsung-kim,2020-11-16 08:05:09.183,minsung-kim,2020-11-16 07:58:26.410,328; 328; 325,HP40171; HP40171; HP40171,250; 250; 250,,X23P41BD,LEADFRAME DZN 1011,,"AU-BETA-DRAHT TYP 0,050 MM",A171U1.68.4
5,627424,635384,FMMT614-7-55,9Z45HEIRS.5: 5(unprobed),HT,SMD,SOT23,AU,False,False,TA,143320.0,143136.0,409.0,60.0,142667.0,0.9967233959311425,2020-11-05 00:00:00.000,1323,False,False,Allg. & ZVR.,,"<font color=""#ED1C24"">ORT-Ausfall TP3-< Verschrottung IH.

<font color=""#9BBB59"">TP1-2 ausgeliefert.

<font color=black>TP4-5 Gurten.",tobias-hofmann,2020-11-12 13:15:33.300,tobias-hofmann,2020-11-12 13:12:44.997,231; 231; 293; 236; 325; 231; 236,HP40186; HP40186; AOT40101; AOT40101; AOT40101; AOT40101; AOT40101,1023; 1023; 105; 105; 105; 105; 105,npn,ZTX614C,TRÄGERBAND TB 401 LS-N  85 my,,"AU-BETA-DRAHT 0,025 MM",A16151.34.4
6,629233,635729,FMMT614-7-55,9Z45HEIRS.5: 7(unprobed),HT,SMD,SOT23,AU,False,False,TA,200688.0,199585.0,749.0,86.0,198750.0,0.9958163188616379,,1322,False,True,Allg. & ZVR.,"RTH,VCESAT","<font color=red>ORT-Ausfall TP2-<Verschrottung IH.

<font color=black>TP1+3-7-< Freigabe Gurten.",tobias-hofmann,2020-11-12 13:14:53.567,tobias-hofmann,2020-11-12 13:05:58.777,231; 231; 325; 275; 275; 231; 325; 231,AOT40101; AOT40101; AOT40101; AOT40101; AOT40101; AOT40101; AOT40101; AOT40101,105; 105; 105; 105; 105; 105; 105; 105,npn,ZTX614C,TRÄGERBAND TB 401 LS-N  85 my,,"AU-BETA-DRAHT 0,025 MM",A16151.34.4
7,631148,635940,ZXCT1008QF,9Z45PACTS.2: 6(probed),IC,SMD,LFSOT23,AU,True,False,TC,86719.0,,,,,,2020-11-16 00:00:00.000,1321,False,True,Ausbeute,BIN 14 (Load open),"<font color=""#ED1C24"">TP1: Drahtrisse auf Höhe Chipkante.

<font color=""#ED1C24"">(Ursache:zu spät durchgeführter Kapillarwechsel) -<TP1 verschrotten (IH).

<font color=""#9BBB59"">TP2: keine Probleme -< Freigabe HHa.",tobias-hofmann,2020-11-10 09:24:17.360,tobias-hofmann,2020-11-10 09:19:47.463,236; 236,AOT40101; AOT40101,103; 103,,ZXCT1008F,TRÄGERBAND TB 401 LFR/C plated,,"GOLDDRAHT 0,022MM",A171M1.72.5
8,627461,635408,FZT560,9Y45SCULL.5: 8(unprobed),VT,SMD,SOT223,AU,True,False,TA,161423.0,159638.0,10302.0,1614.0,147722.0,0.925356118217467,2020-10-20 00:00:00.000,1320,True,False,Ausbeute,HFE,WPS 2020/31.,felix-kannemann,2020-11-10 07:43:17.860,minsung-kim,2020-11-10 07:43:08.633,,,,pnp,FZT560D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.254MM,"AU-BETA-DRAHT 0,025 MM",A22181.23.1
9,627460,635407,FZT560,9Y45SCULL.5: 8(unprobed),VT,SMD,SOT223,AU,True,False,TA,129506.0,129579.0,2630.0,924.0,126025.0,0.9725727162580357,2020-10-19 00:00:00.000,1319,True,False,Ausbeute,HFE,WPS 2020/31.,minsung-kim,2020-11-10 07:42:36.590,minsung-kim,2020-11-10 07:42:27.313,,,,pnp,FZT560D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.254MM,"AU-BETA-DRAHT 0,025 MM",A22181.23.1
