index,a_lot,device,wafer_info,device_group,package,bond_wire,ship_package,final_test_output,final_test_yield,delivery_date,quality_id,release,scrapped,transistor_type,chip_configuration,lead_frame,soft_solder,ongoing_process,ongoing_input,ongoing_reject,ongoing_output,ongoing_done_date,beginning_process,beginning_input,beginning_reject,beginning_output,beginning_done_date,progress,progress2,current_step,comment_for_lot_step,progress2_comment_2
0,Z311018,KMZ10CM,,SEN SOT4W,SEN,AU,Schüttgut,31959.0,99.48,2018-12-19,0,,,,,EFTEC64T-1/2H für TS117S,,AUSLIEFERN,31959.0,0.0,31959.0,2018-12-19 00:00:00,SÄGEN,32329.0,0.0,32329.0,2018-11-19 00:00:00,0.988555167187355,1.0,AUSLIEFERN,Ausgeliefert,Erledigt
1,Z310720,NI1000,O-081970310-E0: 1(TE probed); O-081970467-C1: 1(TE probed); O-111970878-E7: 1(TE probed); O-081970309-G3: 1(TE probed); O-081970524-E5: 1(TE probed),SEN SOT23,SEN,AU,TC,,,,0,,,,,TB 401 SEN    Ni1000,,WASCHEN/KONTROLLE,54080.0,0.0,54080.0,2020-08-12 00:00:00,SÄGEN,122000.0,40660.0,81340.0,2020-08-05 00:00:00,0.6648635357757561,0.6740704732702638,WASCHEN/KONTROLLE,9 Tage vergehen nach WASCHEN/KONTROLLE,Läuft
2,Z310718,3H0015,,SEN SOT223,SEN,AU,Schüttgut,6784.0,99.76,2018-08-31,0,,,,,TRÄGERSTREIFEN TS 404 NI/AG,,AUSLIEFERN,6784.0,0.0,6784.0,2018-08-28 00:00:00,SÄGEN,6000.0,0.0,6000.0,2018-08-09 00:00:00,1.1306666666666667,1.1480792012184804,AUSLIEFERN,Ausgeliefert,Erledigt
3,Z310519,PT1000,,SEN ELINEX,SEN,AU,Schüttgut,68970.0,99.56,2019-08-29,0,,,,,TRÄGERSTREIFEN TS 115/2 AG,,AUSLIEFERN,68970.0,0.0,68970.0,2019-08-28 00:00:00,SÄGEN,72960.0,0.0,72960.0,2019-06-07 00:00:00,0.9453125,1.0,AUSLIEFERN,Ausgeliefert,Erledigt
4,Z310518-NI1000TC,NI1000,,SEN SOT23,SEN,AU,TC,129420.0,99.33,,0,,,,,TB 401 SEN    Ni1000,,AUSLIEFERN,128314.0,759.0,127555.0,2018-06-28 00:00:00,SÄGEN,131158.0,0.0,131158.0,2018-06-04 00:00:00,0.972529315787066,1.01690929094185,AUSLIEFERN,785 Tage vergehen nach Auslieferung,Erledigt
5,Z310320,NI1000NOTIN,O-041970277-D6: 1(TE probed); O-041970177-G5: 1(TE probed); O-041970280-G1: 1(TE probed); O-041970172-C1: 1(TE probed),SEN SOT23,SEN,AU,TC,107102.0,99.87,2020-04-17,0,,,,,TRÄGERBAND TB 401 L-A veredelt,,AUSLIEFERN,105129.0,0.0,105129.0,2020-04-16 00:00:00,SÄGEN,107673.0,0.0,107673.0,2020-03-30 00:00:00,0.9763729068568722,1.015091825502578,AUSLIEFERN,Ausgeliefert,Erledigt
6,Z301119,PT1000,,SEN SOT223,SEN,AU,TA,35920.0,98.34,2020-02-28,0,,,,,TRÄGERSTREIFEN TS 404 NI/AG,,AUSLIEFERN,33579.0,0.0,33579.0,2020-02-21 00:00:00,SÄGEN,31200.0,0.0,31200.0,2020-01-13 00:00:00,1.07625,1.2253320683111955,AUSLIEFERN,Ausgeliefert,Erledigt
7,Z301018,KMZ10CM,,SEN SOT4W,SEN,AU,Schüttgut,31674.0,98.41,2018-12-14,0,,,,,EFTEC64T-1/2H für TS117S,,AUSLIEFERN,31674.0,0.0,31674.0,2018-12-12 00:00:00,SÄGEN,32841.0,0.0,32841.0,2018-11-07 00:00:00,0.9644651502694802,1.0,AUSLIEFERN,Ausgeliefert,Erledigt
8,Z300819,KMY21M,,SEN SOT223,SEN,AU,TA,81789.0,95.99,2020-01-17,0,,,,,TRÄGERSTREIFEN TS 405-A,,AUSLIEFERN,81332.0,0.0,81332.0,2020-01-10 00:00:00,SÄGEN,90184.0,3000.0,87184.0,2019-09-02 00:00:00,0.9328775922187558,1.001354312870897,AUSLIEFERN,Ausgeliefert,Erledigt
9,Z300720,NI1000NOTIN,O-081970121-B5: 1(TE probed); O-081970146-H2: 1(TE probed); O-081970316-D4: 1(TE probed); O-111970979-E3: 1(TE probed),SEN SOT23,SEN,AU,TC,,,,0,,,,,TRÄGERBAND TB 401 L-A veredelt,,SÄGEN,104035.0,0.0,104035.0,2020-07-30 00:00:00,SÄGEN,104035.0,0.0,104035.0,2020-07-30 00:00:00,1.0,1.0,SÄGEN,22 Tage vergehen nach SÄGEN,Erledigt
10,Z300718,3H0015,,SEN SOT223,SEN,AU,Schüttgut,7616.0,97.67,2018-08-31,0,,,,,TRÄGERSTREIFEN TS 404 NI/AG,,AUSLIEFERN,7616.0,0.0,7616.0,2018-08-28 00:00:00,SÄGEN,7000.0,0.0,7000.0,2018-08-09 00:00:00,1.088,1.1173708920187793,AUSLIEFERN,Ausgeliefert,Erledigt
11,Z300620,NI1000NOTIN,O-111970957-F7: 1(TE probed); O-111970554-C7: 1(TE probed); O-111971042-A0: 1(TE probed),SEN SOT23,SEN,AU,TC,77052.0,97.88,2020-07-24,0,,,,,TRÄGERBAND TB 401 L-A veredelt,,AUSLIEFERN,76658.0,0.0,76658.0,2020-07-17 00:00:00,SÄGEN,79151.0,0.0,79151.0,2020-06-30 00:00:00,0.9685032406413059,1.0235259559923093,AUSLIEFERN,Ausgeliefert,Erledigt
12,Z300519,NI1000,,SEN SOT23,SEN,AU,TC,238069.0,99.85,2019-07-12,0,,,,,TB 401 SEN    Ni1000,,AUSLIEFERN,233801.0,0.0,233801.0,2019-07-11 00:00:00,SÄGEN,267553.0,0.0,267553.0,2019-06-27 00:00:00,0.8738492934110251,1.0203056539878157,AUSLIEFERN,Ausgeliefert,Erledigt
13,Z300320,KMZ10CM,O-021950338-H1: 1(TE probed),SEN SOT4W,SEN,AU,Schüttgut,2965.0,99.66,2020-05-08,0,,,,,EFTEC64T-1/2H für TS117S,,AUSLIEFERN,2965.0,0.0,2965.0,2020-05-05 00:00:00,SÄGEN,2969.0,0.0,2969.0,2020-03-28 00:00:00,0.9986527450319973,1.0020277120648868,AUSLIEFERN,Ausgeliefert,Erledigt
14,Z300319,PT100,,SEN ELINEX,SEN,AU,Schüttgut,22150.0,98.99,2019-06-07,0,,,,,TRÄGERSTREIFEN TS 115/2 AG,,AUSLIEFERN,22150.0,0.0,22150.0,2019-06-04 00:00:00,SÄGEN,23040.0,0.0,23040.0,2019-04-15 00:00:00,0.9613715277777778,1.0,AUSLIEFERN,Ausgeliefert,Erledigt
